department,catalogIRN,date,frequency,cumulative
Zoology_Insects,188826,2009-07,17,6
Zoology_Insects,188826,2009-08,50,7
Zoology_Insects,188826,2010-06,19,12
Zoology_Insects,188826,2011-04,40,14
Zoology_Insects,188829,2008-06,100,2
Zoology_Insects,188829,2009-01,3,6
Zoology_Insects,188829,2009-05,40,14
Zoology_Insects,188829,2009-07,67,18
Zoology_Insects,188829,2009-08,100,20
Zoology_Insects,188829,2010-06,54,34
Zoology_Insects,188829,2010-08,20,36
Zoology_Insects,188844,2008-06,50,1
Zoology_Insects,188844,2009-01,2,3
Zoology_Insects,188844,2009-05,10,5
Zoology_Insects,188844,2009-07,17,6
Zoology_Insects,188844,2009-08,50,7
Zoology_Insects,188844,2010-06,15,11
Zoology_Insects,188853,2008-06,50,1
Zoology_Insects,188853,2009-01,2,3
Zoology_Insects,188853,2009-05,10,5
Zoology_Insects,188853,2009-07,17,6
Zoology_Insects,188853,2009-08,100,8
Zoology_Insects,188853,2010-06,19,13
Zoology_Insects,188855,2008-06,50,1
Zoology_Insects,188855,2008-12,0,2
Zoology_Insects,188855,2009-01,1,3
Zoology_Insects,188855,2009-05,10,5
Zoology_Insects,188855,2009-07,17,6
Zoology_Insects,188855,2009-08,50,7
Zoology_Insects,188855,2010-06,19,12
Zoology_Insects,188856,2008-06,50,1
Zoology_Insects,188856,2009-01,2,3
Zoology_Insects,188856,2009-05,10,5
Zoology_Insects,188856,2009-07,17,6
Zoology_Insects,188856,2009-08,50,7
Zoology_Insects,188856,2010-06,19,12
Zoology_Insects,188858,2008-06,50,1
Zoology_Insects,188858,2008-12,0,2
Zoology_Insects,188858,2009-01,1,3
Zoology_Insects,188858,2009-05,10,5
Zoology_Insects,188858,2009-07,17,6
Zoology_Insects,188858,2009-08,50,7
Zoology_Insects,188858,2010-06,19,12
Zoology_Insects,188863,2008-06,50,1
Zoology_Insects,188863,2008-09,25,2
Zoology_Insects,188863,2009-02,50,3
Zoology_Insects,188863,2009-05,10,5
Zoology_Insects,188863,2009-07,17,6
Zoology_Insects,188863,2009-08,50,7
Zoology_Insects,188863,2010-06,15,11
Zoology_Insects,188869,2008-06,50,1
Zoology_Insects,188869,2009-01,1,2
Zoology_Insects,188869,2009-02,50,3
Zoology_Insects,188869,2009-05,10,5
Zoology_Insects,188869,2009-07,17,6
Zoology_Insects,188869,2009-08,50,7
Zoology_Insects,188869,2010-06,19,12
Zoology_Insects,188873,2008-06,50,1
Zoology_Insects,188873,2009-01,2,3
Zoology_Insects,188873,2009-05,10,5
Zoology_Insects,188873,2009-07,17,6
Zoology_Insects,188873,2009-08,50,7
Zoology_Insects,188873,2010-06,15,11
Zoology_Insects,188875,2008-06,50,1
Zoology_Insects,188875,2008-12,0,2
Zoology_Insects,188875,2009-01,1,3
Zoology_Insects,188875,2009-05,10,5
Zoology_Insects,188875,2009-07,17,6
Zoology_Insects,188875,2009-08,50,7
Zoology_Insects,188875,2010-06,15,11
Zoology_Insects,188877,2008-06,100,2
Zoology_Insects,188877,2008-12,1,6
Zoology_Insects,188877,2009-02,100,8
Zoology_Insects,188877,2009-05,60,20
Zoology_Insects,188877,2009-07,100,26
Zoology_Insects,188877,2009-08,100,28
Zoology_Insects,188877,2010-06,39,38
Zoology_Insects,188877,2010-07,11,40
Zoology_Insects,188877,2010-08,20,42
Zoology_Insects,189222,2008-06,50,1
Zoology_Insects,189222,2009-02,50,2
Zoology_Insects,189222,2009-05,10,4
Zoology_Insects,189222,2009-07,17,5
Zoology_Insects,189222,2010-06,15,9
Zoology_Insects,189224,2008-06,100,2
Zoology_Insects,189224,2008-12,0,4
Zoology_Insects,189224,2009-02,100,6
Zoology_Insects,189224,2009-05,40,14
Zoology_Insects,189224,2009-07,67,18
Zoology_Insects,189224,2010-06,39,28
Zoology_Insects,189224,2010-07,11,30
Zoology_Insects,189224,2010-08,20,32
Zoology_Insects,189225,2008-06,50,1
Zoology_Insects,189225,2008-12,0,2
Zoology_Insects,189225,2009-02,50,3
Zoology_Insects,189225,2009-05,10,5
Zoology_Insects,189225,2009-07,17,6
Zoology_Insects,189225,2010-06,8,8
Zoology_Insects,189226,2008-06,50,1
Zoology_Insects,189226,2008-12,0,2
Zoology_Insects,189226,2009-02,50,3
Zoology_Insects,189226,2009-05,10,5
Zoology_Insects,189226,2009-07,17,6
Zoology_Insects,189226,2010-06,19,11
Zoology_Insects,189228,2008-03,100,1
Zoology_Insects,189228,2008-12,0,2
Zoology_Insects,189228,2009-02,50,3
Zoology_Insects,189228,2009-05,10,5
Zoology_Insects,189228,2009-07,17,6
Zoology_Insects,189228,2010-06,8,8
Zoology_Insects,189231,2008-06,100,2
Zoology_Insects,189231,2008-12,0,4
Zoology_Insects,189231,2009-02,100,6
Zoology_Insects,189231,2009-05,40,14
Zoology_Insects,189231,2009-07,67,18
Zoology_Insects,189231,2010-06,15,22
Zoology_Insects,189231,2010-07,11,24
Zoology_Insects,189535,2008-06,50,1
Zoology_Insects,189535,2008-09,25,2
Zoology_Insects,189535,2008-12,0,3
Zoology_Insects,189535,2009-02,50,4
Zoology_Insects,189535,2009-05,10,6
Zoology_Insects,189535,2009-07,17,7
Zoology_Insects,189535,2010-06,12,10
Zoology_Insects,189569,2008-06,100,2
Zoology_Insects,189569,2008-09,50,4
Zoology_Insects,189569,2009-02,100,6
Zoology_Insects,189569,2009-05,40,14
Zoology_Insects,189569,2009-06,25,18
Zoology_Insects,189569,2009-07,67,22
Zoology_Insects,189569,2010-06,23,28
Zoology_Insects,189597,2008-06,50,1
Zoology_Insects,189597,2008-12,0,2
Zoology_Insects,189597,2009-01,1,3
Zoology_Insects,189597,2009-05,10,5
Zoology_Insects,189597,2009-07,17,6
Zoology_Insects,189597,2009-08,50,7
Zoology_Insects,189597,2010-07,28,12
Zoology_Insects,189616,2008-06,50,1
Zoology_Insects,189616,2008-12,0,2
Zoology_Insects,189616,2009-02,50,3
Zoology_Insects,189616,2009-05,10,5
Zoology_Insects,189616,2009-07,17,6
Zoology_Insects,189616,2009-08,50,7
Zoology_Insects,189616,2010-07,22,11
Zoology_Insects,189672,2008-06,100,2
Zoology_Insects,189672,2008-09,100,6
Zoology_Insects,189672,2009-01,2,8
Zoology_Insects,189672,2009-05,20,12
Zoology_Insects,189672,2009-07,33,14
Zoology_Insects,189672,2010-07,56,24
Zoology_Insects,189672,2010-08,20,26
Zoology_Insects,189677,2008-06,50,1
Zoology_Insects,189677,2008-09,50,3
Zoology_Insects,189677,2009-01,1,4
Zoology_Insects,189677,2009-05,10,6
Zoology_Insects,189677,2009-07,17,7
Zoology_Insects,189677,2009-08,50,8
Zoology_Insects,189677,2010-07,28,13
Zoology_Insects,189865,2008-06,100,2
Zoology_Insects,189865,2009-01,3,6
Zoology_Insects,189865,2009-05,20,10
Zoology_Insects,189865,2009-07,33,12
Zoology_Insects,189865,2010-07,56,22
Zoology_Insects,189865,2010-08,20,24
Zoology_Insects,189877,2008-06,100,2
Zoology_Insects,189877,2008-12,1,6
Zoology_Insects,189877,2009-02,100,8
Zoology_Insects,189877,2009-05,20,12
Zoology_Insects,189877,2009-07,33,14
Zoology_Insects,189877,2010-07,56,24
Zoology_Insects,189877,2010-08,20,26
Zoology_Insects,189884,2008-06,50,1
Zoology_Insects,189884,2008-12,0,2
Zoology_Insects,189884,2009-02,50,3
Zoology_Insects,189884,2009-05,20,7
Zoology_Insects,189884,2009-07,17,8
Zoology_Insects,189884,2010-07,44,16
Zoology_Insects,190050,2008-06,50,1
Zoology_Insects,190050,2008-12,0,2
Zoology_Insects,190050,2009-01,1,3
Zoology_Insects,190050,2009-05,10,5
Zoology_Insects,190050,2009-07,17,6
Zoology_Insects,190050,2010-07,22,10
Zoology_Insects,190053,2008-06,100,2
Zoology_Insects,190053,2008-12,0,4
Zoology_Insects,190053,2009-01,2,6
Zoology_Insects,190053,2009-05,20,10
Zoology_Insects,190053,2009-06,25,14
Zoology_Insects,190053,2009-07,67,18
Zoology_Insects,190053,2010-07,67,30
Zoology_Insects,190053,2010-08,20,32
Zoology_Insects,190063,2008-06,50,1
Zoology_Insects,190063,2008-12,0,2
Zoology_Insects,190063,2009-01,1,3
Zoology_Insects,190063,2009-05,10,5
Zoology_Insects,190063,2009-07,17,6
Zoology_Insects,190063,2010-07,22,10
Zoology_Insects,190073,2008-06,50,1
Zoology_Insects,190073,2008-12,0,3
Zoology_Insects,190073,2009-02,50,4
Zoology_Insects,190073,2009-05,10,6
Zoology_Insects,190073,2009-07,17,7
Zoology_Insects,190073,2010-07,28,12
Zoology_Insects,190073,2010-12,2,13
Zoology_Insects,190092,2008-06,100,2
Zoology_Insects,190092,2008-12,0,4
Zoology_Insects,190092,2009-01,2,6
Zoology_Insects,190092,2009-05,20,10
Zoology_Insects,190092,2009-06,25,14
Zoology_Insects,190092,2009-07,67,18
Zoology_Insects,190092,2010-07,89,34
Zoology_Insects,190092,2010-08,20,36
Zoology_Insects,190095,2008-06,50,1
Zoology_Insects,190095,2008-12,0,2
Zoology_Insects,190095,2009-01,1,3
Zoology_Insects,190095,2009-05,10,5
Zoology_Insects,190095,2009-07,17,6
Zoology_Insects,190095,2010-07,22,10
Zoology_Insects,190099,2008-06,100,2
Zoology_Insects,190099,2008-11,100,4
Zoology_Insects,190099,2008-12,0,6
Zoology_Insects,190099,2009-01,2,8
Zoology_Insects,190099,2009-05,20,12
Zoology_Insects,190099,2009-06,25,16
Zoology_Insects,190099,2009-07,67,20
Zoology_Insects,190099,2010-07,44,28
Zoology_Insects,190108,2008-06,50,1
Zoology_Insects,190108,2008-12,0,2
Zoology_Insects,190108,2009-02,50,3
Zoology_Insects,190108,2009-05,10,5
Zoology_Insects,190108,2009-07,17,6
Zoology_Insects,190108,2010-07,28,11
Zoology_Insects,190108,2010-08,10,12
Zoology_Insects,190117,2008-06,50,1
Zoology_Insects,190117,2008-12,0,2
Zoology_Insects,190117,2009-01,1,3
Zoology_Insects,190117,2009-05,10,5
Zoology_Insects,190117,2009-07,17,6
Zoology_Insects,190117,2010-07,22,10
Zoology_Insects,190117,2010-08,10,11
Zoology_Insects,190123,2008-06,50,1
Zoology_Insects,190123,2008-12,0,2
Zoology_Insects,190123,2009-01,1,3
Zoology_Insects,190123,2009-05,10,5
Zoology_Insects,190123,2009-07,17,6
Zoology_Insects,190123,2010-07,17,9
Zoology_Insects,190154,2008-06,50,1
Zoology_Insects,190154,2009-01,2,3
Zoology_Insects,190154,2009-05,10,5
Zoology_Insects,190154,2009-07,17,6
Zoology_Insects,190154,2010-07,17,9
Zoology_Insects,191096,2008-06,50,1
Zoology_Insects,191096,2008-12,0,2
Zoology_Insects,191096,2009-01,1,3
Zoology_Insects,191096,2009-06,25,7
Zoology_Insects,191096,2009-07,33,9
Zoology_Insects,191096,2009-08,100,11
Zoology_Insects,191096,2010-07,22,15
Zoology_Insects,191097,2008-06,100,2
Zoology_Insects,191097,2008-12,0,4
Zoology_Insects,191097,2009-02,100,6
Zoology_Insects,191097,2009-06,100,22
Zoology_Insects,191097,2009-07,67,26
Zoology_Insects,191097,2010-07,100,44
Zoology_Insects,191097,2010-08,20,46
Anthropology,196564,2008-06,50,1
Anthropology,196564,2008-12,0,2
Anthropology,196564,2009-01,2,4
Anthropology,196564,2011-04,20,5
Anthropology,196564,2011-06,13,6
Anthropology,196564,2012-04,25,7
Anthropology,196564,2012-09,20,8
Anthropology,196564,2013-01,9,9
Anthropology,196564,2013-03,20,10
Anthropology,196564,2013-10,7,12
Anthropology,196564,2014-03,18,15
Anthropology,196564,2014-07,3,17
Anthropology,196564,2014-08,2,22
Zoology_Insects,199717,2008-06,100,2
Zoology_Insects,199717,2008-12,0,4
Zoology_Insects,199717,2009-02,100,6
Zoology_Insects,199717,2009-06,13,8
Zoology_Insects,199717,2009-07,67,12
Zoology_Insects,199717,2009-08,100,14
Zoology_Insects,199717,2010-08,100,24
Zoology_Insects,199749,2008-06,100,2
Zoology_Insects,199749,2008-12,0,4
Zoology_Insects,199749,2009-01,2,6
Zoology_Insects,199749,2009-06,38,12
Zoology_Insects,199749,2009-07,67,16
Zoology_Insects,199749,2009-08,100,18
Zoology_Insects,199749,2010-08,60,24
Anthropology,202290,2008-06,50,1
Anthropology,202290,2008-09,25,2
Anthropology,202290,2008-12,0,3
Anthropology,202290,2009-01,2,5
Anthropology,202290,2011-04,20,6
Anthropology,202290,2011-06,13,7
Anthropology,202290,2012-04,25,8
Anthropology,202290,2012-09,20,9
Anthropology,202290,2012-11,7,10
Anthropology,202290,2013-01,9,11
Anthropology,202290,2013-02,7,13
Anthropology,202290,2013-03,20,14
Anthropology,202290,2014-06,13,15
Anthropology,202290,2014-07,1,16
Anthropology,202290,2014-08,2,20
Anthropology,378860,2009-01,5,6
Anthropology,378860,2011-04,60,9
Anthropology,378860,2011-06,75,15
Anthropology,378860,2012-04,75,18
Anthropology,378860,2013-01,27,21
Anthropology,378860,2013-02,20,27
Anthropology,378860,2013-03,60,30
Anthropology,378860,2014-06,38,33
Anthropology,378860,2014-08,6,48
Anthropology,378896,2009-01,2,2
Anthropology,378896,2011-04,20,3
Anthropology,378896,2011-06,13,4
Anthropology,378896,2012-04,25,5
Anthropology,378896,2012-09,20,6
Anthropology,378896,2013-01,18,8
Anthropology,378896,2013-02,3,9
Anthropology,378896,2013-03,20,10
Anthropology,378896,2013-10,7,12
Anthropology,378896,2014-07,4,15
Anthropology,378896,2014-08,2,20
Anthropology,378923,2009-01,5,6
Anthropology,378923,2011-04,40,8
Anthropology,378923,2011-06,25,10
Anthropology,378923,2012-04,50,12
Anthropology,378923,2013-01,36,16
Anthropology,378923,2013-02,13,20
Anthropology,378923,2013-03,40,22
Anthropology,378923,2013-10,14,26
Anthropology,378923,2014-07,6,30
Anthropology,378923,2014-08,3,38
Anthropology,705104,2009-12,100,1
Anthropology,705104,2011-07,50,2
Anthropology,705104,2012-04,25,3
Anthropology,705104,2012-08,10,4
Anthropology,705104,2012-11,7,5
Anthropology,705104,2013-01,18,7
Anthropology,705104,2013-02,3,8
Anthropology,705104,2014-05,2,9
Anthropology,705104,2014-08,2,14
Anthropology,1009576,2011-03,9,1
Anthropology,1009576,2013-11,50,4
Anthropology,1009576,2014-01,60,7
Anthropology,1009576,2014-05,5,10
Anthropology,1009576,2014-06,50,14
Anthropology,1009576,2014-08,1,17
Anthropology,1011029,2011-03,9,1
Anthropology,1011029,2011-08,17,2
Anthropology,1011029,2013-01,9,3
Anthropology,1011029,2014-02,3,5
Anthropology,1011029,2014-06,13,6
Anthropology,1011029,2014-07,1,7
Anthropology,1011029,2014-08,2,12
Anthropology,1017142,2011-03,18,2
Anthropology,1017142,2012-03,67,4
Anthropology,1017142,2014-01,40,6
Anthropology,1017142,2014-03,12,8
Anthropology,1017142,2014-08,3,16
Anthropology,1017308,2011-03,27,3
Anthropology,1017308,2014-02,5,6
Anthropology,1017308,2014-06,38,9
Anthropology,1017308,2014-07,4,12
Anthropology,1017308,2014-08,6,27
Anthropology,1017406,2011-03,9,1
Anthropology,1017406,2014-02,2,2
Anthropology,1017406,2014-06,13,3
Anthropology,1017406,2014-07,1,4
Anthropology,1017406,2014-08,2,9
Anthropology,1017603,2011-03,9,1
Anthropology,1017603,2012-02,2,2
Anthropology,1017603,2013-02,3,3
Anthropology,1017603,2014-01,20,4
Anthropology,1017603,2014-03,6,5
Anthropology,1017603,2014-08,2,9
Anthropology,1017628,2011-03,27,3
Anthropology,1017628,2013-02,10,6
Anthropology,1017628,2013-05,38,9
Anthropology,1017628,2013-12,2,12
Anthropology,1017628,2014-02,5,15
Anthropology,1017628,2014-07,8,21
Anthropology,1017628,2014-08,5,33
Anthropology,1018052,2011-03,9,1
Anthropology,1018052,2014-01,20,2
Anthropology,1018052,2014-03,6,3
Anthropology,1018052,2014-05,2,4
Anthropology,1018052,2014-08,2,8
Anthropology,1018082,2011-03,27,3
Anthropology,1018082,2013-01,27,6
Anthropology,1018082,2013-02,10,9
Anthropology,1018082,2013-05,38,12
Anthropology,1018082,2014-06,38,15
Anthropology,1018082,2014-07,8,21
Anthropology,1018082,2014-08,7,39
Anthropology,1018107,2011-03,36,4
Anthropology,1018107,2013-01,36,8
Anthropology,1018107,2013-02,13,12
Anthropology,1018107,2013-05,100,20
Anthropology,1018107,2013-12,3,24
Anthropology,1018107,2014-06,50,28
Anthropology,1018107,2014-07,11,36
Anthropology,1018107,2014-08,10,60
Anthropology,1018108,2011-03,46,5
Anthropology,1018108,2013-01,46,10
Anthropology,1018108,2013-02,17,15
Anthropology,1018108,2013-05,63,20
Anthropology,1018108,2013-12,4,25
Anthropology,1018108,2014-07,21,40
Anthropology,1018108,2014-08,10,65
Anthropology,1018175,2011-03,9,1
Anthropology,1018175,2013-11,17,2
Anthropology,1018175,2014-01,20,3
Anthropology,1018175,2014-03,6,4
Anthropology,1018175,2014-07,1,5
Anthropology,1018175,2014-08,2,9
Anthropology,1018201,2011-03,36,4
Anthropology,1018201,2013-01,36,8
Anthropology,1018201,2013-02,13,12
Anthropology,1018201,2013-05,50,16
Anthropology,1018201,2013-12,3,20
Anthropology,1018201,2014-06,50,24
Anthropology,1018201,2014-07,11,32
Anthropology,1018201,2014-08,8,52
Anthropology,1018238,2011-03,27,3
Anthropology,1018238,2013-02,10,6
Anthropology,1018238,2013-05,38,9
Anthropology,1018238,2014-07,8,15
Anthropology,1018238,2014-08,8,36
Anthropology,1018253,2011-03,46,5
Anthropology,1018253,2013-01,46,10
Anthropology,1018253,2013-02,17,15
Anthropology,1018253,2013-05,63,20
Anthropology,1018253,2013-10,17,25
Anthropology,1018253,2013-12,8,35
Anthropology,1018253,2014-02,16,45
Anthropology,1018253,2014-07,14,55
Anthropology,1018253,2014-08,16,95
Anthropology,1018291,2011-03,36,4
Anthropology,1018291,2013-01,36,8
Anthropology,1018291,2013-02,13,12
Anthropology,1018291,2013-05,50,16
Anthropology,1018291,2013-12,6,24
Anthropology,1018291,2014-05,6,28
Anthropology,1018291,2014-07,11,36
Anthropology,1018291,2014-08,10,60
Anthropology,1018292,2011-03,27,3
Anthropology,1018292,2012-01,100,12
Anthropology,1018292,2013-01,27,15
Anthropology,1018292,2014-02,5,18
Anthropology,1018292,2014-07,4,21
Anthropology,1018292,2014-08,5,33
Anthropology,1018311,2011-03,27,3
Anthropology,1018311,2013-02,10,6
Anthropology,1018311,2013-05,38,9
Anthropology,1018311,2013-12,2,12
Anthropology,1018311,2014-07,13,21
Anthropology,1018311,2014-08,6,36
Anthropology,1018362,2011-03,36,4
Anthropology,1018362,2013-02,13,8
Anthropology,1018362,2013-05,50,12
Anthropology,1018362,2013-06,100,16
Anthropology,1018362,2013-12,3,20
Anthropology,1018362,2014-06,50,24
Anthropology,1018362,2014-07,11,32
Anthropology,1018362,2014-08,11,60
Anthropology,1018399,2011-03,27,3
Anthropology,1018399,2013-01,27,6
Anthropology,1018399,2014-06,38,9
Anthropology,1018399,2014-07,4,12
Anthropology,1018399,2014-08,6,27
Anthropology,1018489,2011-03,18,2
Anthropology,1018489,2014-02,3,4
Anthropology,1018489,2014-04,14,6
Anthropology,1018489,2014-07,3,8
Anthropology,1018489,2014-08,2,14
Anthropology,1018491,2011-03,27,3
Anthropology,1018491,2013-01,27,6
Anthropology,1018491,2014-02,5,9
Anthropology,1018491,2014-05,10,15
Anthropology,1018491,2014-07,4,18
Anthropology,1018491,2014-08,5,30
Anthropology,1018503,2011-03,36,4
Anthropology,1018503,2012-09,80,8
Anthropology,1018503,2013-01,36,12
Anthropology,1018503,2013-05,50,16
Anthropology,1018503,2014-02,6,20
Anthropology,1018503,2014-05,6,24
Anthropology,1018503,2014-07,11,32
Anthropology,1018503,2014-08,6,48
Anthropology,1018542,2011-03,9,1
Anthropology,1018542,2013-11,17,2
Anthropology,1018542,2013-12,2,4
Anthropology,1018542,2014-02,2,5
Anthropology,1018542,2014-06,13,6
Anthropology,1018542,2014-07,3,8
Anthropology,1018542,2014-08,2,12
Anthropology,1018673,2011-03,18,2
Anthropology,1018673,2013-01,18,4
Anthropology,1018673,2014-02,3,6
Anthropology,1018673,2014-06,25,8
Anthropology,1018673,2014-08,2,14
Anthropology,1018713,2011-03,9,1
Anthropology,1018713,2013-01,9,2
Anthropology,1018713,2013-12,1,3
Anthropology,1018713,2014-03,6,4
Anthropology,1018713,2014-08,2,9
Anthropology,1018722,2011-03,18,2
Anthropology,1018722,2013-01,36,6
Anthropology,1018722,2014-03,12,8
Anthropology,1018722,2014-04,14,10
Anthropology,1018722,2014-08,4,20
Anthropology,1018736,2011-03,18,2
Anthropology,1018736,2012-12,67,4
Anthropology,1018736,2013-01,18,6
Anthropology,1018736,2014-02,3,8
Anthropology,1018736,2014-03,12,10
Anthropology,1018736,2014-06,25,12
Anthropology,1018736,2014-08,2,18
Anthropology,1018738,2011-03,27,3
Anthropology,1018738,2013-01,27,6
Anthropology,1018738,2013-11,50,9
Anthropology,1018738,2014-02,5,12
Anthropology,1018738,2014-03,18,15
Anthropology,1018738,2014-04,21,18
Anthropology,1018738,2014-08,4,27
