date,CAT_irn,FieldDept,cumulative,rel_freq
2014-06,2255016,Geology_Paleobotany,24,10
2014-06,2255018,Geology_Paleobotany,24,10
2014-06,2255020,Geology_Paleobotany,24,10
2014-06,2255022,Geology_Paleobotany,24,10
2014-06,2255024,Geology_Paleobotany,24,10
2014-06,2255026,Geology_Paleobotany,24,10
2014-06,2255027,Geology_Paleobotany,24,10
2014-06,2278550,Geology_Paleobotany,24,10
2014-06,2278552,Geology_Paleobotany,24,10
2014-06,2278593,Geology_Paleobotany,24,10
2014-07,1140517,Anthropology,882,88
2014-07,1257902,Anthropology,551,40
2014-07,2891598,Anthropology,108,2
2014-07,1029280,Anthropology,75,21
2014-07,1018253,Anthropology,55,14
2014-07,1018853,Anthropology,55,21
2014-07,1018108,Anthropology,40,21
2014-08,1140517,Anthropology,1134,100
2014-08,1257902,Anthropology,667,46
2014-08,2891598,Anthropology,252,3
2014-08,1252131,Anthropology,153,27
2014-08,1029280,Anthropology,135,24
2014-08,1020290,Anthropology,121,31
2014-08,1237343,Anthropology,120,16
2014-08,1354168,Anthropology,110,20
2014-08,1353810,Anthropology,104,16
2014-08,1018253,Anthropology,95,16
2014-08,1087272,Anthropology,80,16
2014-08,1264129,Anthropology,80,8
2014-08,1354103,Anthropology,77,14
2014-08,1018853,Anthropology,70,6
2014-08,1018108,Anthropology,65,10
2014-08,1353968,Anthropology,64,13
2014-08,1354166,Anthropology,63,17
2014-08,1018107,Anthropology,60,10
2014-08,1018291,Anthropology,60,10
2014-08,1018362,Anthropology,60,11
2014-08,1353285,Anthropology,60,10
2014-08,1352993,Anthropology,56,8
2014-08,1353287,Anthropology,56,8
2014-08,1353289,Anthropology,56,14
2014-08,1355305,Anthropology,55,12
2014-08,1018201,Anthropology,52,8
2014-08,1353288,Anthropology,49,11
2014-08,378860,Anthropology,48,6
2014-08,1018503,Anthropology,48,6
2014-08,1160356,Anthropology,48,6
2014-08,155481,Anthropology,44,5
2014-08,1142689,Anthropology,44,8
2014-08,2350729,Anthropology,44,100
2014-08,1373889,Anthropology,42,7
2014-08,1391783,Anthropology,42,6
2014-08,1027189,Anthropology,40,8
2014-08,1086810,Anthropology,40,8
2014-08,1354279,Anthropology,40,8
2014-09,1021946,Anthropology,40,18
